order,id,date,time,title,url,visitCount,typedCount,transition
6,15718,6/27/2023,21:39:14,Курс: Data Streaming 2023,https://open.ucu.edu.ua/course/view.php?id=439,108,0,link
7,5,6/27/2023,21:39:04,UCU OPEN,https://open.ucu.edu.ua/,323,0,link
